Name_A,Name_B,MF_Score_Dif,DF_Score_Dif,FW_Score_Dif,GK_Score_Dif,Total_Score_Dif
Rarita,Sobianitedrucy,9036089.836,5134090.441,4265515.718,2054401.103,6115104.968
Rarita,People's Land of Maneau,7986500.437,5323991.815,8973034.113,-809894.9099,6398013.03
Rarita,Nganion,8291748.471,3172852.443,-902572.7606,2306215.31,4214497.677
Rarita,Mico,5234698.966,3342123.301,3084931.158,2026605.76,3863978.013
Rarita,Quewenia,5890679.599,3274258.88,6223285.719,3755010.443,4805576.072
Rarita,Southern Ristan,13619857.08,4207993.492,13410333.65,1959861.282,9099266.533
Rarita,Galamily,11022364.26,5607253.622,7749407.171,1799458.028,7619704.082
Rarita,Bernepamar,10568437.16,5672075.805,9522503.07,2389284.667,7854213.059
Rarita,Giumle Lizeibon,9340757.07,6957651.138,5129741.163,3619255.966,7188397.466
Rarita,Greri Landmoslands,11645892.21,3067461.606,2229827.231,2234408.673,5958861.763
Rarita,Xikong,11856849.7,8542964.275,4600140.843,2670599.169,8497285.249
Rarita,Manlisgamncent,9171767.926,5152384.814,4861533.486,5717873.559,6612504.772
Rarita,Esia,8270526.398,4394691.309,8665450.076,3380069.645,6488349.239
Rarita,Byasier Pujan,10475113.91,3107324.51,10001380.41,2650735.187,6998477.334
Rarita,Djipines,7384634.847,7298330.515,14175158.64,1168125.824,8022755.05
Rarita,Leoneku Guidisia,12287314.19,7294537.253,12896570.91,-1852496.099,9297095.683
Rarita,Ledian,14832058.37,5150126.802,11954244.18,4157779.111,9817728.107
Rarita,Eastern Sleboube,3350818.2,7024185.825,6116498.179,4396823.104,5284530.596
Rarita,New Uwi,14198967.15,4837870.827,11666202.11,966805.5579,9131505.699
Rarita,Ngoque Blicri,5930866.519,3918111.903,3841463.322,395409.2101,4315840.959
Rarita,Nkasland Cronestan,8301481.174,5415406.081,5650436.945,1536208.078,6154966.544
Rarita,Eastern Niasland,10670433.19,2725765.821,13734344.5,1265916.188,7483582.021
Rarita,Varijitri Isles,11947013.26,1121932.23,5621823.497,1392224.252,5901059.474
