Name_A,Name_B,MF_Score_Dif,DF_Score_Dif,FW_Score_Dif,GK_Score_Dif,Total_Score_Dif
Rarita,Sobianitedrucy,9036089.836,5134090.441,-1590437.282,2054401.103,5050385.968
Rarita,People's Land of Maneau,7986500.437,5323991.815,3117081.113,-809894.9099,5333294.03
Rarita,Nganion,8291748.471,3172852.443,-6758525.761,2306215.31,3149778.677
Rarita,Mico,5234698.966,3342123.301,-2771021.842,2026605.76,2799259.013
Rarita,Quewenia,5890679.599,3274258.88,367332.7191,3755010.443,3740857.072
Rarita,Southern Ristan,13619857.08,4207993.492,7554380.65,1959861.282,8034547.533
Rarita,Galamily,11022364.26,5607253.622,1893454.171,1799458.028,6554985.082
Rarita,Bernepamar,10568437.16,5672075.805,3666550.07,2389284.667,6789494.059
Rarita,Giumle Lizeibon,9340757.07,6957651.138,-726211.8368,3619255.966,6123678.466
Rarita,Greri Landmoslands,11645892.21,3067461.606,-3626125.769,2234408.673,4894142.763
Rarita,Xikong,11856849.7,8542964.275,-1255812.157,2670599.169,7432566.249
Rarita,Manlisgamncent,9171767.926,5152384.814,-994419.5145,5717873.559,5547785.772
Rarita,Esia,8270526.398,4394691.309,2809497.076,3380069.645,5423630.239
Rarita,Byasier Pujan,10475113.91,3107324.51,4145427.41,2650735.187,5933758.334
Rarita,Djipines,7384634.847,7298330.515,8319205.641,1168125.824,6958036.05
Rarita,Leoneku Guidisia,12287314.19,7294537.253,7040617.914,-1852496.099,8232376.683
Rarita,Ledian,14832058.37,5150126.802,6098291.183,4157779.111,8753009.107
Rarita,Eastern Sleboube,3350818.2,7024185.825,260545.1793,4396823.104,4219811.596
Rarita,New Uwi,14198967.15,4837870.827,5810249.108,966805.5579,8066786.699
Rarita,Ngoque Blicri,5930866.519,3918111.903,-2014489.678,395409.2101,3251121.959
Rarita,Nkasland Cronestan,8301481.174,5415406.081,-205516.0551,1536208.078,5090247.544
Rarita,Eastern Niasland,10670433.19,2725765.821,7878391.501,1265916.188,6418863.021
Rarita,Varijitri Isles,11947013.26,1121932.23,-234129.5034,1392224.252,4836340.474
